Signature,Experiments,Sensitivity,fmax__mean,fmax__std,ood.f1__mean,ood.f1__std,ood.precision__mean,ood.precision__std,ood.recall__mean,ood.recall__std
e33d0e0c,"stage20_007, stage20_017, stage20_027, stage20_037, stage20_047",0.75,4000.0,,0.843,0.041,0.815,0.143,0.902,0.095
d4b21f9f,"stage20_003, stage20_013, stage20_023, stage20_033, stage20_043",1.0,15000.0,,0.831,0.037,0.738,0.071,0.956,0.027
f20c3fd5,"stage20_004, stage20_014, stage20_024, stage20_034, stage20_044",1.25,15000.0,,0.827,0.036,0.747,0.105,0.944,0.064
1e87dbb5,"stage20_002, stage20_012, stage20_022, stage20_032, stage20_042",0.75,15000.0,,0.814,0.077,0.756,0.168,0.919,0.074
f1269606,"stage20_005, stage20_015, stage20_025, stage20_035, stage20_045",1.5,15000.0,,0.803,0.038,0.719,0.135,0.944,0.101
c140859e,"stage20_001, stage20_011, stage20_021, stage20_031, stage20_041",0.5,15000.0,,0.804,0.049,0.692,0.103,0.974,0.041
face2f9f,"stage20_010, stage20_020, stage20_030, stage20_040, stage20_050",1.5,4000.0,,0.796,0.055,0.72,0.157,0.93,0.095
efa90d7f,"stage20_008, stage20_018, stage20_028, stage20_038, stage20_048",1.0,4000.0,,0.788,0.065,0.724,0.176,0.915,0.11
532ee09e,"stage20_006, stage20_016, stage20_026, stage20_036, stage20_046",0.5,4000.0,,0.781,0.082,0.682,0.14,0.942,0.053
f4c8716c,"stage20_009, stage20_019, stage20_029, stage20_039, stage20_049",1.25,4000.0,,0.763,0.054,0.632,0.093,0.978,0.04
