Signature,Experiments,ood.f1__mean,ood.f1__std,ood.precision__mean,ood.precision__std,ood.recall__mean,ood.recall__std
25f1950d,"stage9_006, stage9_030, stage9_054",0.917,0.054,0.955,0.012,0.885,0.1
a8b85afa,"stage9_010, stage9_034, stage9_058",0.869,0.096,0.901,0.087,0.839,0.104
6a1f168b,"stage9_011, stage9_035, stage9_059",0.861,0.123,0.994,0.007,0.772,0.185
f03e3ed2,"stage9_001, stage9_025, stage9_049",0.846,0.062,0.92,0.043,0.791,0.118
63c78d6b,"stage9_009, stage9_033, stage9_057",0.845,0.068,0.91,0.049,0.794,0.11
d94483e8,"stage9_003, stage9_027, stage9_051",0.853,0.109,0.939,0.067,0.789,0.155
8fd922b7,"stage9_022, stage9_046, stage9_070",0.833,0.032,0.839,0.018,0.828,0.048
1caff09e,"stage9_002, stage9_026, stage9_050",0.837,0.119,0.803,0.198,0.914,0.143
bdaadf75,"stage9_007, stage9_031, stage9_055",0.83,0.105,0.948,0.028,0.747,0.157
6df90972,"stage9_023, stage9_047, stage9_071",0.81,0.079,0.944,0.012,0.716,0.133
f666dbdf,"stage9_019, stage9_043, stage9_067",0.803,0.053,0.88,0.088,0.758,0.14
e0597683,"stage9_008, stage9_032, stage9_056",0.791,0.06,0.851,0.07,0.749,0.109
6045f3bb,"stage9_014, stage9_038, stage9_062",0.788,0.05,0.955,0.031,0.675,0.085
abb630ce,"stage9_004, stage9_028, stage9_052",0.785,0.048,0.91,0.048,0.696,0.09
06c0b100,"stage9_015, stage9_039, stage9_063",0.787,0.06,0.939,0.037,0.685,0.109
70369661,"stage9_005, stage9_029, stage9_053",0.778,0.032,0.959,0.066,0.658,0.049
10b96415,"stage9_017, stage9_041, stage9_065",0.78,0.048,0.944,0.086,0.677,0.117
80e686f5,"stage9_024, stage9_048, stage9_072",0.782,0.061,0.907,0.046,0.697,0.119
51d27c81,"stage9_016, stage9_040, stage9_064",0.776,0.033,0.908,0.078,0.688,0.09
4e9421f5,"stage9_013, stage9_037, stage9_061",0.773,0.047,0.93,0.044,0.664,0.07
cd964cd3,"stage9_021, stage9_045, stage9_069",0.78,0.079,0.905,0.082,0.704,0.16
268ba0e5,"stage9_012, stage9_036, stage9_060",0.771,0.048,0.958,0.023,0.647,0.07
ee0a50e6,"stage9_018, stage9_042, stage9_066",0.76,0.042,0.945,0.034,0.637,0.059
95273e3c,"stage9_020, stage9_044, stage9_068",0.735,0.016,0.958,0.011,0.597,0.02
