experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,dataset.counts_selected.pos,dataset.counts_selected.neg,dataset.breakdown_selected.positive_quality.high,dataset.breakdown_selected.positive_quality.medium,dataset.breakdown_selected.positive_call_type.growl,dataset.breakdown_selected.positive_call_type.grunt,dataset.breakdown_selected.negative_total,metrics.iid.default_0.5.threshold,metrics.iid.default_0.5.precision,metrics.iid.default_0.5.recall,metrics.iid.default_0.5.f1,metrics.iid.default_0.5.accuracy,metrics.iid.default_0.5.tp,metrics.iid.default_0.5.fp,metrics.iid.default_0.5.fn,metrics.iid.default_0.5.tn,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.best_f1.tp,metrics.iid.best_f1.fp,metrics.iid.best_f1.fn,metrics.iid.best_f1.tn,metrics.iid.high_precision.threshold,metrics.iid.high_precision.precision,metrics.iid.high_precision.recall,metrics.iid.high_precision.f1,metrics.iid.high_precision.accuracy,metrics.iid.high_precision.tp,metrics.iid.high_precision.fp,metrics.iid.high_precision.fn,metrics.iid.high_precision.tn,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.default_0.5.threshold,metrics.ood.default_0.5.precision,metrics.ood.default_0.5.recall,metrics.ood.default_0.5.f1,metrics.ood.default_0.5.accuracy,metrics.ood.default_0.5.tp,metrics.ood.default_0.5.fp,metrics.ood.default_0.5.fn,metrics.ood.default_0.5.tn,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.best_f1.tp,metrics.ood.best_f1.fp,metrics.ood.best_f1.fn,metrics.ood.best_f1.tn,metrics.ood.high_precision.threshold,metrics.ood.high_precision.precision,metrics.ood.high_precision.recall,metrics.ood.high_precision.f1,metrics.ood.high_precision.accuracy,metrics.ood.high_precision.tp,metrics.ood.high_precision.fp,metrics.ood.high_precision.fn,metrics.ood.high_precision.tn,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,metadata.hostname,metadata.user,__exp_path,metrics.iid.high_precision,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,dataset.breakdown_selected.positive_quality.low,dataset.breakdown_selected.positive_call_type.both,metrics.ood.high_precision,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training.dropout,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio,training_args.batch_size,training_args.focal_loss,training_args.epochs
02_no_low_quality,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.028,0.3,0.051,0.933,3,105,7,1547,0.1,0.083,0.2,0.118,0.982,2,22,8,1630,,,,,,,,,,0.836,0.999,0.5,0.113,0.394,0.176,0.881,13,102,20,890,0.3,0.147,0.303,0.198,0.921,10,58,23,934,,,,,,,,,,0.781,0.988,2025-09-03T01:35:58.700621Z,010c1110a2a8ceec861c17bce9c8a305478928dc,TylerSchwenksPC,tyler,experiments\02_no_low_quality,,,,,,,1568.0,1395.0,,,,,,,,,,,,,,,,,
first_trial_real,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.989,0.328,0.493,0.761,354,4,725,1963,1.0,0.931,0.906,0.918,0.943,978,73,101,1894,1.0,0.931,0.906,0.918,0.943,978.0,73.0,101.0,1894.0,0.944,0.946,0.5,0.996,0.125,0.223,0.522,256,1,1784,1691,1.0,0.983,0.487,0.652,0.715,994,17,1046,1675,1.0,0.983,0.487,0.652,0.715,994.0,17.0,1046.0,1675.0,0.74,0.615,2025-09-02T21:28:27.973420Z,010c1110a2a8ceec861c17bce9c8a305478928dc,TylerSchwenksPC,tyler,experiments\first_trial_real,,,,,,,1568.0,1395.0,,,,,,,,,,,,,,,,,
02_no_low_quality,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.382,0.169,0.234,0.628,193,312,951,1943,1.0,0.434,0.983,0.603,0.563,1125,1465,19,790,,,,,,,,,,0.688,0.841,0.5,0.496,0.069,0.121,0.472,137,139,1854,1645,1.0,0.599,0.978,0.743,0.642,1947,1306,44,478,,,,,,,,,,0.573,0.635,2025-09-03T23:32:45.680434Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\02_no_low_quality,,,,,,,,778.0,,,,,,,,,,,,,,,,,
best_trial_real,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.962,0.072,0.134,0.675,76,3,982,1966,1.0,0.967,0.252,0.4,0.736,267,9,791,1960,1.0,0.967,0.252,0.4,0.736,267.0,9.0,791.0,1960.0,0.624,0.712,0.5,0.969,0.032,0.062,0.481,62,2,1888,1690,1.0,0.99,0.104,0.188,0.52,203,2,1747,1690,1.0,0.99,0.104,0.188,0.52,203.0,2.0,1747.0,1690.0,0.551,0.492,2025-09-04T01:05:57.391002Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\best_trial_real,,0.0,8000.0,0.0,8000.0,1.1,1568.0,1395.0,,0.5,0.5,,,,,,,,,,,,,,
03_bandpass_low,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.973,0.073,0.135,0.605,108,3,1379,2010,1.0,0.938,0.328,0.486,0.705,487,32,1000,1981,1.0,0.938,0.328,0.486,0.705,487.0,32.0,1000.0,1981.0,0.656,0.664,0.5,0.936,0.045,0.086,0.422,117,8,2484,1699,1.0,0.973,0.209,0.344,0.519,543,15,2058,1692,1.0,0.973,0.209,0.344,0.519,543.0,15.0,2058.0,1692.0,0.6,0.451,2025-09-04T23:50:15.633416Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\03_bandpass_low,,0.0,6000.0,0.0,6000.0,,1568.0,1395.0,,,,,,,,,,,,,,,,,
04_autotune,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.937,0.335,0.494,0.895,118,8,234,1939,1.0,0.909,0.884,0.896,0.969,311,31,41,1916,1.0,0.909,0.884,0.896,0.969,311.0,31.0,41.0,1916.0,0.936,0.978,0.5,0.95,0.077,0.142,0.607,95,5,1141,1675,1.0,0.948,0.38,0.543,0.728,470,26,766,1654,1.0,0.948,0.38,0.543,0.728,470.0,26.0,766.0,1654.0,0.683,0.683,2025-09-05T01:05:13.755812Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\04_autotune,,,,,,,1568.0,1395.0,,,,,,,,,,,,,,,,,
05_overlap,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.656,0.037,0.07,0.657,40,21,1042,1996,1.0,0.668,0.162,0.26,0.679,175,87,907,1930,,,,,,,,,,0.559,0.68,0.5,0.802,0.043,0.082,0.468,93,23,2049,1730,1.0,0.845,0.211,0.337,0.545,451,83,1691,1670,,,,,,,,,,0.581,0.496,2025-09-05T01:35:38.339673Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\05_overlap,,,,,,,1568.0,1395.0,,0.5,0.5,,,,,,,,,,,,,,
06_sensitive,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.726,0.068,0.124,0.696,61,23,835,1902,1.0,0.71,0.289,0.411,0.737,259,106,637,1819,,,,,,,,,,0.617,0.739,0.5,0.825,0.063,0.117,0.526,104,22,1545,1636,1.0,0.847,0.324,0.469,0.634,535,97,1114,1561,0.1,0.968,0.018,0.036,0.51,30.0,1.0,1619.0,1657.0,0.633,0.581,2025-09-05T02:02:09.434867Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\06_sensitive,,,,,,1.1,1568.0,1395.0,,,,,,,,,,,,,,,,,
07_autotune_conf025,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.932,0.655,0.77,0.912,371,27,195,1926,0.8,0.871,0.968,0.917,0.961,548,81,18,1872,0.7,0.908,0.924,0.916,0.962,523.0,53.0,43.0,1900.0,0.987,0.997,0.5,0.998,0.299,0.46,0.683,416,1,977,1688,0.95,0.733,0.821,0.774,0.784,1143,417,250,1272,0.85,0.917,0.596,0.722,0.793,830.0,75.0,563.0,1614.0,0.885,0.886,2025-09-05T03:11:38.297272Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\07_autotune_conf025,,,,,,,1568.0,1395.0,,,,,,,,,,,,,,,,,
08_autotune_conf050,123,50.0,32.0,4.0,0.2,True,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.0,0.0,0.0,0.676,0,0,937,1957,1.0,0.926,0.891,0.908,0.942,835,67,102,1890,1.0,0.926,0.891,0.908,0.942,835.0,67.0,102.0,1890.0,0.935,0.946,0.5,0.0,0.0,0.0,0.479,0,0,1834,1689,1.0,0.91,0.769,0.834,0.84,1411,139,423,1550,1.0,0.91,0.769,0.834,0.84,1411.0,139.0,423.0,1550.0,0.854,0.774,2025-09-05T03:54:41.531553Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\08_autotune_conf050,,,,,,,1568.0,1395.0,,,,,,,,,,,,,,,,,
