experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,dataset.counts_selected.pos,dataset.counts_selected.neg,dataset.breakdown_selected.positive_quality.high,dataset.breakdown_selected.positive_quality.medium,dataset.breakdown_selected.positive_call_type.growl,dataset.breakdown_selected.positive_call_type.grunt,dataset.breakdown_selected.negative_total,metrics.iid.default_0.5.threshold,metrics.iid.default_0.5.precision,metrics.iid.default_0.5.recall,metrics.iid.default_0.5.f1,metrics.iid.default_0.5.accuracy,metrics.iid.default_0.5.tp,metrics.iid.default_0.5.fp,metrics.iid.default_0.5.fn,metrics.iid.default_0.5.tn,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.best_f1.tp,metrics.iid.best_f1.fp,metrics.iid.best_f1.fn,metrics.iid.best_f1.tn,metrics.iid.high_precision.threshold,metrics.iid.high_precision.precision,metrics.iid.high_precision.recall,metrics.iid.high_precision.f1,metrics.iid.high_precision.accuracy,metrics.iid.high_precision.tp,metrics.iid.high_precision.fp,metrics.iid.high_precision.fn,metrics.iid.high_precision.tn,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.default_0.5.threshold,metrics.ood.default_0.5.precision,metrics.ood.default_0.5.recall,metrics.ood.default_0.5.f1,metrics.ood.default_0.5.accuracy,metrics.ood.default_0.5.tp,metrics.ood.default_0.5.fp,metrics.ood.default_0.5.fn,metrics.ood.default_0.5.tn,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.best_f1.tp,metrics.ood.best_f1.fp,metrics.ood.best_f1.fn,metrics.ood.best_f1.tn,metrics.ood.high_precision.threshold,metrics.ood.high_precision.precision,metrics.ood.high_precision.recall,metrics.ood.high_precision.f1,metrics.ood.high_precision.accuracy,metrics.ood.high_precision.tp,metrics.ood.high_precision.fp,metrics.ood.high_precision.fn,metrics.ood.high_precision.tn,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,metadata.hostname,metadata.user,__exp_path,metrics.iid.high_precision,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,dataset.breakdown_selected.positive_quality.low,dataset.breakdown_selected.positive_call_type.both,metrics.ood.high_precision,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training.dropout,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio,training_args.batch_size,training_args.focal_loss,training_args.epochs
test_quick_run,123,2.0,16.0,2.0,0.2,False,data/manifest.csv,True,True,100.0,"['high', 'medium']","['grunt', 'growl']",data\splits,['train'],data\manifest.csv,123.0,100.0,100.0,13.0,87.0,7.0,93.0,100.0,0.5,0.819,0.269,0.405,0.679,59,13,160,307,0.65,0.8,0.877,0.837,0.861,192,48,27,272,0.35,1.0,0.014,0.027,0.599,3.0,0.0,216.0,320.0,0.916,0.953,0.5,0.92,0.092,0.167,0.136,23,2,227,13,0.85,0.943,1.0,0.971,0.943,250,15,0,0,1.0,0.943,1.0,0.971,0.943,250.0,15.0,0.0,0.0,0.518,0.078,2025-10-28T17:33:29.732118Z,010c1110a2a8ceec861c17bce9c8a305478928dc,TylerSchwenksPC,tyler,experiments\test_quick_run,,0.0,8000.0,0.0,8000.0,1.0,,,,,,,,,,,,,,,,,,,
01_baseline,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,3585.0,3585.0,245.0,1772.0,170.0,2020.0,3585.0,0.5,0.923,0.989,0.955,0.971,829,69,9,1774,0.05,0.955,0.981,0.968,0.979,822,39,16,1804,0.75,0.905,0.99,0.946,0.965,830.0,87.0,8.0,1756.0,0.988,0.993,0.5,0.949,0.625,0.754,0.801,958,51,575,1561,1.0,0.884,0.742,0.807,0.827,1138,150,395,1462,0.95,0.932,0.659,0.772,0.81,1011.0,74.0,522.0,1538.0,0.849,0.782,2025-10-28T17:20:20.192191Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,TylerSchwenksPC,tyler,experiments\01_baseline,,,,,,,1568.0,1395.0,,,,,,,,,,,,,,,,,
stage3_001,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.825,0.988,0.9,0.919,770,163,9,1179,0.05,0.825,0.988,0.9,0.919,770,163,9,1179,,,,,,,,,,0.938,0.955,0.5,0.883,0.991,0.934,0.931,1028,136,9,943,0.55,0.883,0.992,0.934,0.931,1029,137,8,942,,,,,,,,,,0.936,0.938,2025-10-28T17:25:06.005961Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_001,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.0,,,
stage3_002,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,456.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.574,0.999,0.729,0.746,959,713,1,1133,0.05,0.574,0.999,0.729,0.746,959,713,1,1133,,,,,,,,,,0.807,0.868,0.5,0.715,1.0,0.834,0.787,1869,744,0,881,0.05,0.715,1.0,0.834,0.787,1869,744,0,881,,,,,,,,,,0.771,0.755,2025-10-28T17:25:07.348663Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_002,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.0,,,
stage3_003,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,789.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.859,0.643,0.735,0.874,383,63,213,1534,0.95,0.755,0.904,0.823,0.894,539,175,57,1422,,,,,,,,,,0.955,0.982,0.5,0.836,0.796,0.815,0.868,612,120,157,1205,0.85,0.776,0.917,0.84,0.872,705,204,64,1121,,,,,,,,,,0.932,0.957,2025-10-28T17:25:08.725950Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_003,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.0,,,
stage3_004,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.793,0.949,0.864,0.903,827,216,44,1589,0.05,0.793,0.949,0.864,0.903,827,216,44,1589,,,,,,,,,,0.934,0.959,0.5,0.817,0.971,0.887,0.867,1724,386,52,1141,0.6,0.813,0.98,0.889,0.868,1740,400,36,1127,,,,,,,,,,0.869,0.862,2025-10-28T17:25:10.124952Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_004,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,linear,0.0,,,
stage3_005,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,456.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.602,0.975,0.744,0.767,894,591,23,1132,0.05,0.602,0.975,0.744,0.767,894,591,23,1132,,,,,,,,,,0.823,0.88,0.5,0.74,0.979,0.843,0.802,1714,603,37,880,0.55,0.736,0.986,0.843,0.801,1727,618,24,865,,,,,,,,,,0.792,0.779,2025-10-28T17:25:11.967033Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_005,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,linear,0.0,,,
stage3_006,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,789.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.548,0.834,0.661,0.72,798,658,159,1298,0.75,0.526,0.992,0.687,0.703,949,856,8,1100,,,,,,,,,,0.796,0.884,0.5,0.742,0.972,0.842,0.807,1827,635,53,1041,0.05,0.742,0.972,0.842,0.807,1827,635,53,1041,,,,,,,,,,0.804,0.798,2025-10-28T17:25:14.168744Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_006,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,linear,0.0,,,
stage3_007,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.631,0.707,0.667,0.763,663,388,275,1470,0.95,0.607,0.952,0.741,0.777,893,579,45,1279,,,,,,,,,,0.847,0.919,0.5,0.763,0.899,0.826,0.805,1558,483,175,1151,0.85,0.735,0.977,0.839,0.807,1693,609,40,1025,,,,,,,,,,0.832,0.84,2025-10-28T17:25:16.212169Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_007,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.1,,,
stage3_008,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,456.0,2017.0,2017.0,245.0,1772.0,82.0,1157.0,2017.0,0.5,0.607,0.962,0.745,0.838,577,373,23,1471,0.05,0.607,0.962,0.745,0.838,577,373,23,1471,,,,,,,,,,0.894,0.95,0.5,0.747,0.988,0.85,0.823,1623,551,20,1025,0.05,0.747,0.988,0.85,0.823,1623,551,20,1025,,,,,,,,,,0.823,0.82,2025-10-28T17:25:18.127963Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_008,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.1,,,
