Comparison,Quality,Positive_Subsets,Negative_Subsets,Use_Validation,Balanced_Experiments,Unbalanced_Experiments,N_Balanced,N_Unbalanced,Balanced_F1_Mean,Balanced_F1_Std,Unbalanced_F1_Mean,Unbalanced_F1_Std,Balanced_Prec_Mean,Unbalanced_Prec_Mean,Balanced_Rec_Mean,Unbalanced_Rec_Mean,Delta_F1,Delta_Precision,Delta_Recall
Comparison_1,"['high', 'medium', 'low']",,['AudioData\\curated\\hardNeg\\hardneg_conf_min_50'],True,"stage12_009, stage12_021","stage12_012, stage12_024",2,2,0.8185,0.0346,0.6805,0.0460,0.7320,0.5165,0.9375,0.9995,+0.1380,+0.2155,-0.0620
Comparison_2,['high'],[],[],False,"stage6_055, stage6_067, stage6_079","stage6_061, stage6_073, stage6_085",3,3,0.6463,0.0092,0.7480,0.0658,0.6297,0.8537,0.8347,0.6837,-0.1017,-0.2240,+0.1510
Comparison_3,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],[],False,"stage11_034, stage11_035, stage11_036, stage6_007, stage6_025, stage6_043","stage6_016, stage6_034, stage6_052",6,3,0.7865,0.0497,0.6960,0.0560,0.9102,0.8200,0.7077,0.7133,+0.0905,+0.0902,-0.0057
Comparison_4,"['high', 'medium', 'low']",,,True,"stage16_004, stage16_018, stage16_022, stage16_034, stage16_036, stage16_040, stage16_002, stage16_006, stage16_008, stage16_020, stage16_024, stage16_038","stage16_010, stage16_012, stage16_014, stage16_026, stage16_028, stage16_030, stage16_032, stage16_042, stage16_044, stage16_046, stage16_016, stage16_048",12,12,0.7637,0.0559,0.8325,0.0504,0.6401,0.7686,0.9706,0.9298,-0.0688,-0.1285,+0.0408
Comparison_5,"['high', 'medium', 'low']",[],['AudioData\\curated\\hardNeg\\hardneg_conf_min_50'],False,"stage6_059, stage6_071, stage6_083","stage6_065, stage6_077, stage6_089",3,3,0.7573,0.0273,0.8197,0.0770,0.6117,0.7703,0.9960,0.9087,-0.0623,-0.1587,+0.0873
Comparison_6,['high'],[],['AudioData\\curated\\hardNeg\\hardneg_conf_min_50'],False,"stage6_056, stage6_068, stage6_080","stage6_062, stage6_074, stage6_086",3,3,0.6447,0.0047,0.7060,0.0225,0.8220,0.8663,0.6527,0.6433,-0.0613,-0.0443,+0.0093
Comparison_7,"['high', 'medium']",[],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],False,"stage11_001, stage11_011, stage11_021, stage6_003, stage6_021, stage6_039","stage6_012, stage6_030, stage6_048",6,3,0.7510,0.0487,0.6923,0.0487,0.9635,0.6960,0.6190,0.8180,+0.0587,+0.2675,-0.1990
Comparison_8,"['high', 'medium', 'low']",,[],True,"stage12_007, stage12_019","stage12_010, stage12_022",2,2,0.8655,0.0021,0.8070,0.0453,0.8345,0.8130,0.8995,0.8630,+0.0585,+0.0215,+0.0365
Comparison_9,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_50'],False,"stage6_005, stage6_023, stage6_041, stage9_018, stage9_042, stage9_066","stage6_014, stage6_032, stage6_050",6,3,0.7445,0.0321,0.6927,0.0133,0.9440,0.9933,0.6185,0.5323,+0.0518,-0.0493,+0.0862
Comparison_10,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],False,"stage11_003, stage11_013, stage11_023, stage6_006, stage6_024, stage6_042, stage9_017, stage9_041, stage9_065","stage6_015, stage6_033, stage6_051",9,3,0.7637,0.0376,0.7223,0.0405,0.8781,0.7770,0.7080,0.7380,+0.0413,+0.1011,-0.0300
