experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio
stage1_sweep_001,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.05,0.528,0.998,0.691,0.701,0.775,0.849,0.05,0.701,0.987,0.82,0.77,0.757,0.742,2025-10-28T17:20:23.705179Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0001,0.0,False,0.0,False,repeat,0.0
stage1_sweep_002,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.05,0.53,1.0,0.693,0.705,0.779,0.853,0.05,0.697,1.0,0.822,0.771,0.757,0.743,2025-10-28T17:20:25.032273Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0001,0.0,False,0.0,False,repeat,0.0
stage1_sweep_003,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.05,0.537,0.997,0.698,0.713,0.786,0.858,0.8,0.702,0.994,0.823,0.774,0.765,0.756,2025-10-28T17:20:26.347221Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,0.0,False,0.0,False,repeat,0.0
stage1_sweep_004,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.05,0.539,0.997,0.7,0.709,0.78,0.851,0.05,0.702,0.999,0.825,0.775,0.76,0.746,2025-10-28T17:20:27.552599Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,0.0,False,0.0,False,repeat,0.0
stage1_sweep_005,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.05,0.555,0.995,0.712,0.732,0.799,0.866,0.55,0.713,0.992,0.83,0.784,0.773,0.761,2025-10-28T17:20:28.890328Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.001,0.0,False,0.0,False,repeat,0.0
stage1_sweep_006,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.05,0.528,0.993,0.689,0.704,0.779,0.855,0.05,0.707,0.999,0.828,0.78,0.766,0.752,2025-10-28T17:20:30.152500Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.001,0.0,False,0.0,False,repeat,0.0
stage1_sweep_007,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.6,0.522,0.999,0.686,0.693,0.769,0.845,0.05,0.696,1.0,0.821,0.767,0.75,0.733,2025-10-28T17:20:31.405561Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0001,0.0,False,0.25,False,repeat,0.0
stage1_sweep_008,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.05,0.523,0.998,0.687,0.691,0.766,0.842,0.05,0.692,0.999,0.818,0.754,0.726,0.698,2025-10-28T17:20:32.618290Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0001,0.0,False,0.25,False,repeat,0.0
stage1_sweep_009,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.85,0.562,0.945,0.704,0.736,0.814,0.89,0.95,0.708,0.979,0.822,0.775,0.781,0.779,2025-10-28T17:20:33.851683Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,0.0,False,0.25,False,repeat,0.0
stage1_sweep_010,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.05,0.509,1.0,0.675,0.676,0.756,0.836,0.05,0.688,1.0,0.815,0.752,0.726,0.701,2025-10-28T17:20:35.211714Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,0.0,False,0.25,False,repeat,0.0
