Signature,Experiments,Sensitivity,ood.f1__mean,ood.f1__std,ood.precision__mean,ood.precision__std,ood.recall__mean,ood.recall__std
377e5b7e,"stage12_007, stage12_019",1.0,0.865,0.002,0.835,0.012,0.899,0.011
5125212d,"stage12_009, stage12_021",1.0,0.819,0.035,0.732,0.093,0.938,0.062
87a00532,"stage12_008, stage12_020",1.0,0.81,0.004,0.693,0.016,0.976,0.019
35bc83db,"stage12_010, stage12_022",1.0,0.807,0.045,0.813,0.255,0.863,0.192
1def383e,"stage12_011, stage12_023",1.0,0.777,0.017,0.637,0.023,0.996,0.001
b5ae0d3e,"stage12_006, stage12_018",1.0,0.718,0.013,0.7,0.008,0.737,0.037
01b77c0a,"stage12_002, stage12_014",1.0,0.719,0.11,0.663,0.271,0.873,0.18
df8951b6,"stage12_003, stage12_015",1.0,0.698,0.023,0.87,0.061,0.586,0.061
4e1d4972,"stage12_005, stage12_017",1.0,0.689,0.011,0.63,0.031,0.764,0.072
52783620,"stage12_012, stage12_024",1.0,0.68,0.046,0.516,0.053,1.0,0.001
0e5185b0,"stage12_004, stage12_016",1.0,0.675,0.023,0.514,0.021,0.98,0.021
0d221fec,"stage12_001, stage12_013",1.0,0.654,0.003,0.562,0.063,0.8,0.134
