Signature,Experiments,Hidden Units,Dropout,Learning Rate,ood.f1__mean,ood.f1__std,ood.precision__mean,ood.precision__std,ood.recall__mean,ood.recall__std
f301dc85,"stage13_021, stage13_057, stage13_093, stage13_153",512.0,0.0,0.001,0.95,0.065,0.95,0.07,0.95,0.061
b4eddc26,"stage13_032, stage13_068, stage13_104, stage13_110, stage13_170",1024.0,0.25,0.0005,0.912,0.081,0.938,0.067,0.888,0.097
8b1a5377,"stage13_030, stage13_066, stage13_102, stage13_168",1024.0,0.0,0.001,0.912,0.108,0.963,0.055,0.872,0.154
033ffe5d,"stage13_029, stage13_065, stage13_101, stage13_167",1024.0,0.0,0.0005,0.862,0.13,0.845,0.193,0.914,0.138
53d55034,"stage13_006, stage13_042, stage13_078, stage13_126",0.0,0.25,0.001,0.833,0.014,0.872,0.029,0.801,0.049
3c67ca96,"stage13_033, stage13_069, stage13_105, stage13_111, stage13_171",1024.0,0.25,0.001,0.829,0.036,0.911,0.049,0.767,0.082
bdb1f83e,"stage13_003, stage13_039, stage13_075, stage13_123",0.0,0.0,0.001,0.817,0.015,0.793,0.067,0.853,0.089
abbd7b90,"stage13_002, stage13_038, stage13_074, stage13_122",0.0,0.0,0.0005,0.819,0.032,0.811,0.078,0.836,0.066
ed1946a1,"stage13_035, stage13_071, stage13_107, stage13_113, stage13_173",1024.0,0.5,0.0005,0.812,0.024,0.917,0.066,0.734,0.066
dcdcf0bd,"stage13_011, stage13_047, stage13_083, stage13_137",128.0,0.0,0.0005,0.834,0.136,0.809,0.21,0.9,0.124
73925452,"stage13_012, stage13_048, stage13_084, stage13_138",128.0,0.0,0.001,0.825,0.093,0.845,0.136,0.829,0.146
2b6c892f,"stage13_024, stage13_060, stage13_096, stage13_156",512.0,0.25,0.001,0.814,0.039,0.908,0.053,0.744,0.089
93164bdb,"stage13_015, stage13_051, stage13_087, stage13_141",128.0,0.25,0.001,0.826,0.117,0.922,0.076,0.757,0.165
76a81735,"stage13_005, stage13_041, stage13_077, stage13_125",0.0,0.25,0.0005,0.807,0.039,0.904,0.06,0.739,0.112
fc72bd1f,"stage13_026, stage13_062, stage13_098, stage13_158",512.0,0.5,0.0005,0.805,0.066,0.972,0.035,0.69,0.091
0d14fb35,"stage13_013, stage13_049, stage13_085, stage13_139",128.0,0.25,0.0001,0.792,0.036,0.832,0.113,0.782,0.131
e2b99948,"stage13_019, stage13_055, stage13_091, stage13_151",512.0,0.0,0.0001,0.798,0.073,0.738,0.124,0.881,0.033
9fd752fb,"stage13_022, stage13_058, stage13_094, stage13_154",512.0,0.25,0.0001,0.796,0.067,0.898,0.152,0.748,0.159
bbf761d7,"stage13_028, stage13_064, stage13_100, stage13_166",1024.0,0.0,0.0001,0.784,0.038,0.931,0.058,0.685,0.09
5c48acff,"stage13_027, stage13_063, stage13_099, stage13_159",512.0,0.5,0.001,0.78,0.044,0.921,0.065,0.683,0.084
25f1950d,"stage13_023, stage13_059, stage13_095, stage13_155",512.0,0.25,0.0005,0.783,0.057,0.78,0.171,0.836,0.146
8a89d9bf,"stage13_017, stage13_053, stage13_089, stage13_143",128.0,0.5,0.0005,0.781,0.048,0.982,0.002,0.65,0.067
a61a34bc,"stage13_036, stage13_072, stage13_108, stage13_114, stage13_174",1024.0,0.5,0.001,0.781,0.068,0.968,0.059,0.661,0.099
ad7d4128,"stage13_025, stage13_061, stage13_097, stage13_157",512.0,0.5,0.0001,0.774,0.05,0.952,0.045,0.659,0.088
87f6fdc6,"stage13_018, stage13_054, stage13_090, stage13_144",128.0,0.5,0.001,0.767,0.023,0.955,0.05,0.642,0.028
590056e5,"stage13_008, stage13_044, stage13_080, stage13_128",0.0,0.5,0.0005,0.764,0.022,0.941,0.035,0.645,0.046
1d34315f,"stage13_004, stage13_040, stage13_076, stage13_124",0.0,0.25,0.0001,0.763,0.021,0.928,0.06,0.653,0.063
a045baa3,"stage13_014, stage13_050, stage13_086, stage13_140",128.0,0.25,0.0005,0.775,0.08,0.964,0.039,0.659,0.131
43e32936,"stage13_016, stage13_052, stage13_088, stage13_142",128.0,0.5,0.0001,0.767,0.045,0.929,0.066,0.664,0.109
c25a6943,"stage13_009, stage13_045, stage13_081, stage13_129",0.0,0.5,0.001,0.761,0.017,0.956,0.037,0.633,0.04
ac8bb74b,"stage13_020, stage13_056, stage13_092, stage13_152",512.0,0.0,0.0005,0.766,0.084,0.746,0.197,0.871,0.21
5b570a55,"stage13_001, stage13_037, stage13_073, stage13_121",0.0,0.0,0.0001,0.753,0.033,0.937,0.068,0.637,0.083
5b90d998,"stage13_034, stage13_070, stage13_106, stage13_112, stage13_172",1024.0,0.5,0.0001,0.75,0.034,0.982,0.023,0.608,0.046
