Signature,Experiments,Dropout,ood.f1__mean,ood.f1__std,ood.precision__mean,ood.precision__std,ood.recall__mean,ood.recall__std
53d55034,"stage13_006, stage13_042, stage13_078, stage13_126",0.25,0.833,0.014,0.872,0.029,0.799,0.049
abbd7b90,"stage13_002, stage13_038, stage13_074, stage13_122",0.0,0.819,0.032,0.811,0.078,0.836,0.066
bdb1f83e,"stage13_003, stage13_039, stage13_075, stage13_123",0.0,0.816,0.017,0.793,0.067,0.851,0.091
3c67ca96,"stage13_033, stage13_069, stage13_105, stage13_111, stage13_171",0.25,0.82,0.053,0.911,0.049,0.756,0.105
76a81735,"stage13_005, stage13_041, stage13_077, stage13_125",0.25,0.807,0.039,0.904,0.06,0.739,0.112
2b6c892f,"stage13_024, stage13_060, stage13_096, stage13_156",0.25,0.806,0.053,0.908,0.053,0.735,0.108
ed1946a1,"stage13_035, stage13_071, stage13_107, stage13_113, stage13_173",0.5,0.802,0.043,0.917,0.066,0.722,0.09
0d14fb35,"stage13_013, stage13_049, stage13_085, stage13_139",0.25,0.792,0.036,0.832,0.113,0.782,0.132
b4eddc26,"stage13_032, stage13_068, stage13_104, stage13_110, stage13_170",0.25,0.799,0.071,0.938,0.067,0.708,0.124
73925452,"stage13_012, stage13_048, stage13_084, stage13_138",0.0,0.785,0.021,0.845,0.136,0.762,0.138
e2b99948,"stage13_019, stage13_055, stage13_091, stage13_151",0.0,0.789,0.058,0.737,0.123,0.862,0.043
bbf761d7,"stage13_028, stage13_064, stage13_100, stage13_166",0.0,0.781,0.04,0.931,0.058,0.681,0.093
5c48acff,"stage13_027, stage13_063, stage13_099, stage13_159",0.5,0.78,0.044,0.921,0.065,0.683,0.084
25f1950d,"stage13_023, stage13_059, stage13_095, stage13_155",0.25,0.783,0.057,0.78,0.171,0.836,0.146
ad7d4128,"stage13_025, stage13_061, stage13_097, stage13_157",0.5,0.774,0.05,0.952,0.045,0.659,0.089
590056e5,"stage13_008, stage13_044, stage13_080, stage13_128",0.5,0.764,0.022,0.941,0.035,0.645,0.046
1d34315f,"stage13_004, stage13_040, stage13_076, stage13_124",0.25,0.763,0.021,0.928,0.06,0.653,0.063
43e32936,"stage13_016, stage13_052, stage13_088, stage13_142",0.5,0.767,0.046,0.929,0.066,0.663,0.109
a045baa3,"stage13_014, stage13_050, stage13_086, stage13_140",0.25,0.773,0.08,0.964,0.039,0.657,0.13
c25a6943,"stage13_009, stage13_045, stage13_081, stage13_129",0.5,0.76,0.017,0.956,0.037,0.633,0.04
f301dc85,"stage13_021, stage13_057, stage13_093, stage13_153",0.0,0.764,0.061,0.95,0.071,0.654,0.139
8a89d9bf,"stage13_017, stage13_053, stage13_089, stage13_143",0.5,0.758,0.031,0.982,0.002,0.617,0.043
87f6fdc6,"stage13_018, stage13_054, stage13_090, stage13_144",0.5,0.754,0.027,0.955,0.05,0.625,0.044
ac8bb74b,"stage13_020, stage13_056, stage13_092, stage13_152",0.0,0.764,0.084,0.746,0.197,0.867,0.21
93164bdb,"stage13_015, stage13_051, stage13_087, stage13_141",0.25,0.758,0.062,0.922,0.076,0.655,0.114
5b570a55,"stage13_001, stage13_037, stage13_073, stage13_121",0.0,0.752,0.034,0.937,0.068,0.636,0.085
dcdcf0bd,"stage13_011, stage13_047, stage13_083, stage13_137",0.0,0.758,0.063,0.806,0.208,0.775,0.162
a61a34bc,"stage13_036, stage13_072, stage13_108, stage13_114, stage13_174",0.5,0.744,0.019,0.968,0.059,0.608,0.05
fc72bd1f,"stage13_026, stage13_062, stage13_098, stage13_158",0.5,0.742,0.015,0.972,0.035,0.601,0.033
3729defd,"stage13_007, stage13_043, stage13_079, stage13_127",0.5,0.741,0.015,0.961,0.021,0.604,0.027
033ffe5d,"stage13_029, stage13_065, stage13_101, stage13_167",0.0,0.742,0.03,0.844,0.193,0.722,0.193
5b90d998,"stage13_034, stage13_070, stage13_106, stage13_112, stage13_172",0.5,0.742,0.029,0.982,0.023,0.597,0.039
8b1a5377,"stage13_030, stage13_066, stage13_102, stage13_168",0.0,0.738,0.031,0.963,0.056,0.602,0.065
58874786,"stage13_031, stage13_067, stage13_103, stage13_109, stage13_169",0.25,0.737,0.039,0.736,0.223,0.836,0.201
0bce7763,stage13_132,0.75,0.725,0.0,0.996,0.0,0.57,0.0
29cac11b,"stage13_116, stage13_176",0.75,0.724,0.002,0.998,0.001,0.567,0.002
9fd752fb,"stage13_022, stage13_058, stage13_094, stage13_154",0.25,0.735,0.059,0.898,0.152,0.66,0.178
897344c2,stage13_146,0.75,0.715,0.0,0.997,0.0,0.558,0.0
f0136f3a,stage13_162,0.75,0.714,0.0,0.997,0.0,0.556,0.0
da43b24b,stage13_147,0.75,0.714,0.0,1.0,0.0,0.555,0.0
4bfc6351,"stage13_117, stage13_177",0.75,0.723,0.059,0.994,0.008,0.571,0.076
d909e243,stage13_160,0.75,0.71,0.0,0.999,0.0,0.551,0.0
a902a7a6,stage13_131,0.75,0.709,0.0,0.999,0.0,0.549,0.0
371342e6,"stage13_115, stage13_175",0.75,0.706,0.013,0.998,0.001,0.546,0.015
ec8708ea,stage13_161,0.75,0.703,0.0,1.0,0.0,0.542,0.0
c97409e9,stage13_134,0.9,0.703,0.0,0.998,0.0,0.542,0.0
a6d16021,stage13_130,0.75,0.702,0.0,0.999,0.0,0.541,0.0
268c034e,stage13_145,0.75,0.7,0.0,1.0,0.0,0.539,0.0
1480c93e,"stage13_010, stage13_046, stage13_082, stage13_136",0.0,0.706,0.04,0.823,0.23,0.692,0.2
9d636b5b,stage13_149,0.9,0.695,0.0,1.0,0.0,0.533,0.0
752dcac7,stage13_135,0.9,0.692,0.0,1.0,0.0,0.529,0.0
65768ee0,stage13_150,0.9,0.691,0.0,1.0,0.0,0.528,0.0
c189e494,stage13_163,0.9,0.688,0.0,1.0,0.0,0.525,0.0
8d9b76cf,"stage13_119, stage13_179",0.9,0.69,0.012,1.0,0.0,0.526,0.013
248d9abf,"stage13_120, stage13_180",0.9,0.685,0.016,1.0,0.001,0.522,0.02
e957d4e2,"stage13_118, stage13_178",0.9,0.683,0.006,1.0,0.0,0.52,0.008
3a5f5e7c,stage13_133,0.9,0.681,0.0,1.0,0.0,0.516,0.0
3f6277c4,stage13_165,0.9,0.68,0.0,1.0,0.0,0.515,0.0
360fd3de,stage13_164,0.9,0.679,0.0,1.0,0.0,0.514,0.0
c91bab70,stage13_148,0.9,0.666,0.0,0.992,0.0,0.501,0.0
